Accuracy,Precision,Recall,F1-Score,AUC,Params,CNN
0.819672131147541,0.821229875893421,0.819672131147541,0.8204502641196261,0.9818164471916152,"[512-128, 256-512, mean, mean, 32-512, mean, 32-512]",3441483
0.6655737704918033,0.6863108194173768,0.6655737704918033,0.6757832483905004,0.9438723461435098,"[32-256, mean, 512-128, mean, mean]",1908907
0.8147540983606557,0.8261022760627506,0.8147540983606557,0.8203889451612818,0.9839712442891696,"[256-512, mean, mean, 32-512, mean, 32-512]",2434123
0.4377049180327869,0.40966697803462543,0.4377049180327869,0.4232220867214601,0.8039293200752485,[64-128],1198411
0.6754098360655738,0.6937883455545779,0.6754098360655738,0.6844757450389627,0.9483122816447193,"[128-32, 32-128, mean, 128-256, max]",737259
0.8344262295081967,0.8376709138840578,0.8344262295081967,0.8360454235606434,0.9850048374092987,"[512-128, 256-512, mean, mean, 32-512, mean, 32-512]",3441483
0.7360655737704918,0.7650238408102522,0.7360655737704918,0.7502653830803014,0.8763719430260682,[mean],60379
0.8229508196721311,0.834124504257595,0.8229508196721311,0.8284999898007157,0.9862266863746304,"[512-128, 256-512, mean, mean, 32-512, mean, 32-512]",3441483
0.8098360655737705,0.8279283631399951,0.8098360655737705,0.8187822820267241,0.9850631550658425,"[512-128, 256-512, mean, mean, 32-512, mean, 32-512]",3441483
0.5016393442622951,0.5002506985449932,0.5016393442622951,0.5009440590540618,0.8720815640956732,"[128-64, 64-128, mean, 64-512]",1770123
0.8180327868852459,0.8198339606734009,0.8180327868852459,0.8189323833974684,0.9850330556302072,"[256-512, mean, mean, 32-512, mean, 32-512]",2434123
0.8278688524590164,0.8369718912848227,0.8278688524590164,0.8323954850122678,0.9886202633700617,"[512-128, 256-512, mean, mean, 32-512, mean, 32-512]",3441483
0.5131147540983606,0.5239800196593075,0.5131147540983606,0.5184904711568108,0.8537254770223058,"[256-128, mean]",641035
0.8508196721311475,0.8549460318734403,0.8508196721311475,0.8528778610341079,0.983876108572964,"[256-512, mean, 32-512, mean, 32-512, mean]",2434123
0.7639344262295082,0.7906086868471925,0.7639344262295082,0.7770427059604813,0.9729424885783392,"[256-512, mean, mean, 32-512, mean, 32-512]",2434123
0.7622950819672131,0.8036557374661502,0.7622950819672131,0.7824291908309822,0.9743571620532115,"[512-128, 256-512, mean, mean, 32-512, mean, 32-512]",3441483
0.4098360655737705,0.45034387090962974,0.4098360655737705,0.4291361664709706,0.8593304219295888,"[128-32, 32-128, 32-64, mean, max]",220491
0.7655737704918033,0.7753926187906371,0.7655737704918033,0.7704519123943827,0.9755649019080893,"[128-128, 512-128, 256-512, mean, 32-512, mean, mean, 32-512]",4099787
0.7704918032786885,0.8002075993477289,0.7704918032786885,0.7850686072558288,0.9710859983875302,"[256-512, mean, mean, 32-512, mean, 32-512]",2434123
0.780327868852459,0.7970724619684645,0.780327868852459,0.7886112908891554,0.9775146466003761,"[512-128, 256-512, mean, 32-512, mean, mean, 32-512]",3441483
0.30983606557377047,0.3682270864473461,0.30983606557377047,0.3365174213123598,0.7849121203977425,"[256-64, 64-512, mean, 512-256]",4809419
0.7786885245901639,0.7892539839351305,0.7786885245901639,0.7839356569972619,0.9724915345337275,"[256-512, mean, mean, 32-512, mean, 32-512]",2434123
0.7131147540983607,0.7627701800864913,0.7131147540983607,0.7371071508448812,0.9600206933619995,"[512-128, 256-512, mean, mean, 32-512, mean, mean, 32-512]",3396427
0.12131147540983607,0.0588023303075464,0.12131147540983607,0.07920989086575657,0.4913748992206396,"[64-512, 32-32, 64-256]",2885867
0.7065573770491803,0.728338289633359,0.7065573770491803,0.7172825223141284,0.9594681537221178,"[512-128, 32-128, 256-512, mean, 32-512, mean, 32-512]",3757803
0.7934426229508197,0.7943619765746404,0.7934426229508197,0.7939020336055826,0.9772297769416823,"[256-512, mean, mean, 32-512, mean]",1873835
0.6967213114754098,0.7400546924624033,0.6967213114754098,0.7177345313156462,0.9596517065305026,"[512-128, 256-512, mean, mean, 32-512, mean, mean, 32-512]",3396427
0.7098360655737705,0.7387753110751308,0.7098360655737705,0.7240166253142852,0.9560905670518678,"[256-512, mean, mean, 32-512, mean]",1873835
0.6852459016393443,0.7146000895421537,0.6852459016393443,0.6996152230383177,0.956932813759742,"[512-128, 32-128, 256-512, mean, 32-512, mean, 32-512]",3757803
0.6049180327868853,0.6556639371369679,0.6049180327868853,0.629269573078468,0.9291045417898415,"[256-64, 128-512, mean]",2019339
0.739344262295082,0.7634574831197263,0.739344262295082,0.7512074182413335,0.8754154797097554,[max],60379
0.7918032786885246,0.7960539909210629,0.7918032786885246,0.7939229452019466,0.9832141897339426,"[512-128, 256-512, mean, 32-512, mean, mean, 32-512]",3441483
0.7754098360655738,0.7868449859163303,0.7754098360655738,0.7810855603753325,0.9719303950550927,"[256-512, mean, mean, 32-512, mean, 32-512]",2434123
