Accuracy,Precision,Recall,F1-Score,AUC,Params,CNN
0.8008774890313871,0.8103605135187698,0.8008774890313871,0.8055910948598605,0.9789376471070352,"[256-64, 64-512, 128-512, 512-256]",7846795
0.8855326808414895,0.8898955814180525,0.8855326808414895,0.8877087704790916,0.9914530147326078,"[256-64, mean, mean]",185995
0.78147148160648,0.8014586530428893,0.78147148160648,0.7913388813947804,0.9750569547069828,"[128-32, 32-128, 256-32, max]",533195
0.8758578017774777,0.8859553103036117,0.8758578017774777,0.8808776200320272,0.9924895086423638,"[512-32, 32-64, mean, 32-64, mean]",261099
0.7618404769940376,0.7850331084727808,0.7618404769940376,0.7732629265041444,0.9686728447619009,[128-256],2506251
0.7938463269209135,0.8032086345340782,0.7938463269209135,0.7985000387151798,0.9770641734363572,"[64-512, 256-32, 256-32]",1996555
0.7415907301158735,0.7491070869812323,0.7415907301158735,0.745329959161266,0.9628226903955803,"[128-64, 64-128, 64-512]",5048907
0.8857576780290246,0.8939323088310185,0.8857576780290246,0.8898262192083194,0.9918799577484188,"[128-128, mean, mean]",219147
0.8772640341995726,0.8815105188130075,0.8772640341995726,0.8793821500301475,0.9920496347427956,"[256-512, mean, 32-64, max, mean]",1392363
0.8698953763077961,0.8795119706294489,0.8698953763077961,0.8746772419784069,0.9910705943420054,"[64-512, 256-512, mean, 32-512, mean, 32-512]",4321739
0.8747890651366858,0.8777810968369255,0.8747890651366858,0.8762825269510558,0.9889970911095979,"[256-64, 32-64, max, mean]",227499
0.1847789402632467,0.0341432567648085,0.1847789402632467,0.0576365018055135,0.6257903026212173,"[64-512, 512-512, 128-512, 128-512]",12592267
0.1847789402632467,0.0341432567648085,0.1847789402632467,0.0576365018055135,0.6257903026212173,"[64-512, 512-256, 256-512, 128-32]",6798283
0.8634267071661604,0.8688215607017833,0.8634267071661604,0.8661157331622088,0.9905201548843278,"[64-128, 32-64, max, 32-64, max]",215563
0.9022949713128586,0.9050748563924131,0.9022949713128586,0.9036827760054346,0.9949132831882463,"[128-32, 32-128, 32-64, mean, max]",188523
0.8813702328720892,0.8851583701109818,0.8813702328720892,0.8832602398579689,0.9906742587524103,"[256-64, 32-64, max, mean]",227499
0.8604454944313196,0.8803728257777048,0.8604454944313196,0.8702951049702174,0.9875641943755994,"[32-256, mean, 512-128, mean, mean]",1894219
0.7984587692653842,0.8034937170813922,0.7984587692653842,0.8009683307353708,0.9766416838853806,[128-128],1254027
0.8918888513893576,0.8979550205975599,0.8918888513893576,0.8949116562116749,0.9933702507232834,"[512-32, 32-64, mean, 32-64, mean]",261099
0.7756215547305658,0.7818147504546668,0.7756215547305658,0.7787058388712944,0.9710905786306764,[64-512],4714891
0.9057824277196534,0.909457462629931,0.9057824277196534,0.9076162250379488,0.9948439281975227,"[32-256, mean, 512-128, mean, mean]",1894219
0.8891326358420519,0.9024924078978531,0.8891326358420519,0.8957627113613289,0.9934075876257925,"[256-512, mean, mean, 32-512, mean]",1797803
0.7911463606704916,0.8296069170254108,0.7911463606704916,0.8099203033848409,0.9804841749826592,"[256-512, mean, mean, 32-512, mean]",1797803
0.9223759703003712,0.9246409525691192,0.9223759703003712,0.9235070726698091,0.9968140965230848,"[256-512, mean, mean, 32-512, mean]",1797803
0.898470019124761,0.8991363390033645,0.898470019124761,0.8988030555714587,0.9941531980322907,"[512-32, 32-64, mean, 32-64, mean]",261099
0.8197210034874564,0.8303600194866086,0.8197210034874564,0.8250062135768529,0.9817018580403924,"[128-64, 64-128, mean, 64-512]",1737291
0.8962200472494094,0.8997048497219151,0.8962200472494094,0.897959067540197,0.9926096310123325,"[128-128, mean, mean]",219147
0.8017774777815277,0.8249973668508459,0.8017774777815277,0.8132217069284151,0.976782398092113,[128-64],627915
0.8305771177860277,0.8564397224294269,0.8305771177860277,0.8433101783643742,0.9859821824261454,"[128-128, mean, mean]",219147
0.7915401057486782,0.8021452681523711,0.7915401057486782,0.7968074009802036,0.9746606526556116,[128-128],1254027
0.8728203397457531,0.8752721133015919,0.8728203397457531,0.8740445071656492,0.9897843933253567,"[256-64, 32-64, max, mean]",227499
0.8161210484868939,0.8343351598098804,0.8161210484868939,0.8251276004665511,0.9820150621809431,"[128-64, 64-128, mean, 64-512]",1737291
0.8746765665429183,0.8876483973625908,0.8746765665429183,0.8811147414967488,0.9917808696982919,"[32-256, mean, mean, 32-512, mean]",482155
0.9009449881876477,0.904563372638621,0.9009449881876477,0.9027505546459214,0.9952258662388556,"[256-512, mean, 512-128, mean, 512-128, mean]",5416843
0.854483068961638,0.8693698339730478,0.854483068961638,0.8618621722669171,0.9900459433803146,"[256-512, mean, mean, 32-512, mean]",1797803
0.8633704578692767,0.8763939231772702,0.8633704578692767,0.8698334452303831,0.9882561630821329,"[128-32, 32-128, 32-64, mean, max]",188523
0.8567892901338733,0.8654762154776645,0.8567892901338733,0.8611108448387097,0.9900629928212634,"[512-32, 32-64, mean, 32-512, mean]",662955
0.8534705816177298,0.8587662513904083,0.8534705816177298,0.8561102271818326,0.9904407441215625,"[256-512, mean, mean, 32-64, mean, 32-64]",1433867
0.8856451794352571,0.8950683899710964,0.8856451794352571,0.8903318517498011,0.9934480007111621,"[32-256, 32-256, mean, mean, 32-512, mean]",696843
0.8689953875576555,0.8790769588124221,0.8689953875576555,0.8740071017112019,0.9923166138768691,"[256-512, mean, 512-128, mean, 512-128, mean]",5416843
0.9035887051411857,0.9043357564362139,0.9035887051411857,0.903962076444409,0.9947530753633888,"[32-256, mean, mean, 32-512, mean]",482155
0.8956575542805715,0.9005893049478896,0.8956575542805715,0.8981166593408354,0.993737733315458,"[256-512, mean, 512-128, mean, 512-128, mean]",5416843
0.8635954550568118,0.8787072482786592,0.8635954550568118,0.8710858158989099,0.9892993458109954,"[256-512, mean, mean, mean]",1237515
0.7998087523905951,0.8193419506717822,0.7998087523905951,0.8094575287014882,0.9794346049623079,"[128-128, mean, 32-512, mean, 32-512]",1239499
0.9053324333445832,0.9097925514473111,0.9053324333445832,0.9075570127034586,0.9944507296974684,"[32-256, mean, mean, 32-64, mean]",191403
0.9069074136573293,0.9065433442008957,0.9069074136573293,0.9067253423837117,0.9953925061255667,"[512-32, 128-32, 32-64, 512-128, mean, 512-128, mean]",2425291
0.8705703678704017,0.8803858039192141,0.8705703678704017,0.8754505744166851,0.9913858090358075,"[256-512, mean, max, mean]",1237515
0.8398582517718528,0.8482529935259896,0.8398582517718528,0.8440347497090261,0.9862173875733236,"[256-64, 32-64, mean, 32-512, mean, 32-512]",1231147
0.8286083923950951,0.832658313061334,0.8286083923950951,0.8306284161766816,0.9846706421738408,"[128-64, 64-128, 32-64, mean, 64-512]",1731691
0.8735515806052424,0.8796984875184478,0.8735515806052424,0.8766142585126846,0.9900502587372736,"[128-32, 32-128, mean, mean]",158987
0.8803577455281809,0.8847898912196326,0.8803577455281809,0.8825682539907863,0.9905267943452933,"[128-32, 32-128, 32-64, mean, max]",188523
0.8824952188097649,0.884311783445606,0.8824952188097649,0.8834025672659019,0.9904148825122473,"[256-64, 32-64, max, mean]",227499
0.877939025762178,0.881709299294801,0.877939025762178,0.8798201233797834,0.9904969516538654,"[256-64, 32-64, max, mean]",227499
0.9145010687366408,0.9162838314801476,0.9145010687366408,0.9153915821082814,0.9956638877843423,"[32-256, mean, 512-128, mean, mean]",1894219
0.9197322533468332,0.9211449184963605,0.9197322533468332,0.9204380438911846,0.9963661600028176,"[32-256, mean, 512-128, mean, mean]",1894219
